Date,Clicks,Impressions,CTR,Position
2026-02-15,0,0,,
2026-02-16,0,8,0%,48.9
2026-02-17,0,10,0%,24.7
2026-02-18,1,8,12.5%,10.2
2026-02-19,1,27,3.7%,30.6
2026-02-20,1,21,4.76%,24.3
2026-02-21,0,32,0%,15.3
2026-02-22,3,23,13.04%,11.9
2026-02-23,2,42,4.76%,16.9
2026-02-24,0,38,0%,16.2
2026-02-25,0,23,0%,10.9
2026-02-26,1,23,4.35%,32.5
2026-02-27,1,27,3.7%,27.4
2026-02-28,4,44,9.09%,11.5
2026-03-01,1,32,3.12%,13.1
2026-03-02,1,42,2.38%,14.7
2026-03-03,1,23,4.35%,7.4
2026-03-04,0,35,0%,10.7
2026-03-05,3,60,5%,17.9
2026-03-06,3,57,5.26%,11.6
2026-03-07,1,58,1.72%,14.1
2026-03-08,0,39,0%,8.3
2026-03-09,1,37,2.7%,11.5
2026-03-10,2,36,5.56%,8.7
2026-03-11,2,64,3.12%,8.8
2026-03-12,7,147,4.76%,10
2026-03-13,3,129,2.33%,7.5
2026-03-14,9,147,6.12%,9.9
2026-03-15,3,98,3.06%,8.1
2026-03-16,4,170,2.35%,8.5
2026-03-17,3,133,2.26%,9.1
2026-03-18,4,232,1.72%,9.1
2026-03-19,7,268,2.61%,10.5
2026-03-20,3,368,0.82%,9
2026-03-21,3,345,0.87%,8.5
2026-03-22,2,350,0.57%,8.1
2026-03-23,5,375,1.33%,8
2026-03-24,5,346,1.45%,8.6
2026-03-25,4,241,1.66%,8.5
2026-03-26,6,292,2.05%,9.4
2026-03-27,7,305,2.3%,8.5
2026-03-28,3,312,0.96%,8.7
2026-03-29,3,339,0.88%,8.3
2026-03-30,5,364,1.37%,8.4
2026-03-31,5,318,1.57%,7.4
2026-04-01,8,281,2.85%,8.1
2026-04-02,8,443,1.81%,8.3
2026-04-03,4,371,1.08%,8
2026-04-04,7,370,1.89%,7.2
2026-04-05,5,354,1.41%,8.2
2026-04-06,6,279,2.15%,7.9
2026-04-07,4,229,1.75%,8.7
2026-04-08,3,205,1.46%,8.9
2026-04-09,2,261,0.77%,8.5
2026-04-10,3,287,1.05%,8.9
2026-04-11,9,314,2.87%,8.1
2026-04-12,2,277,0.72%,8.5
2026-04-13,6,288,2.08%,7.8
2026-04-14,7,318,2.2%,7.3
2026-04-15,6,354,1.69%,8
2026-04-16,4,328,1.22%,8.3
2026-04-17,4,350,1.14%,8.6
2026-04-18,4,295,1.36%,8.2
2026-04-19,10,304,3.29%,6.8
2026-04-20,8,283,2.83%,6.6
2026-04-21,7,328,2.13%,7
2026-04-22,2,256,0.78%,7.1
2026-04-23,9,350,2.57%,7.3
2026-04-24,7,280,2.5%,7.3
2026-04-25,4,324,1.23%,7.2
2026-04-26,4,278,1.44%,7.5
2026-04-27,4,272,1.47%,7.9
2026-04-28,4,287,1.39%,8.8
2026-04-29,2,295,0.68%,7.7
2026-04-30,10,326,3.07%,6.7
2026-05-01,4,352,1.14%,5.4
2026-05-02,12,392,3.06%,5.4
2026-05-03,13,362,3.59%,5.8
2026-05-04,8,297,2.69%,6
2026-05-05,6,349,1.72%,5.7
2026-05-06,6,471,1.27%,5.2
2026-05-07,11,564,1.95%,4.7
2026-05-08,5,580,0.86%,3
2026-05-09,9,493,1.83%,2.9
2026-05-10,14,445,3.15%,3.2
2026-05-11,6,415,1.45%,3.4
2026-05-12,4,388,1.03%,3.3
2026-05-13,9,354,2.54%,5.2
2026-05-14,6,363,1.65%,6.6
2026-05-15,10,391,2.56%,5.4
2026-05-16,8,418,1.91%,4.3
2026-05-17,13,364,3.57%,4.5
2026-05-18,20,402,4.98%,5.7
2026-05-19,16,351,4.56%,5.1
2026-05-20,6,340,1.76%,5.4
2026-05-21,11,342,3.22%,5.4
2026-05-22,16,542,2.95%,5.2
2026-05-23,18,598,3.01%,5.7
2026-05-24,24,624,3.85%,5.3
2026-05-25,21,592,3.55%,5.6
2026-05-26,14,622,2.25%,5
2026-05-27,12,585,2.05%,5.3
2026-05-28,27,655,4.12%,5.5
2026-05-29,19,588,3.23%,4.8
2026-05-30,23,740,3.11%,5.1
2026-05-31,22,646,3.41%,4.9
2026-06-01,10,645,1.55%,4.8
2026-06-02,18,635,2.83%,4.9
2026-06-03,18,596,3.02%,4.8
