Country,Clicks,Impressions,CTR,Position
United Kingdom,2212,68883,3.21%,5.05
Netherlands,6,103,5.83%,5.3
United States,4,544,0.74%,10.98
Cameroon,4,44,9.09%,6.25
Ireland,3,89,3.37%,7.47
Greece,2,59,3.39%,4.27
Turkey,2,44,4.55%,5.8
China,2,14,14.29%,3.64
Canada,1,33,3.03%,13.94
Norway,1,28,3.57%,4.93
Poland,1,26,3.85%,4.73
Denmark,1,20,5%,6.85
Czechia,1,15,6.67%,4.27
Bermuda,1,4,25%,2.25
Spain,0,181,0%,5.72
France,0,64,0%,6.27
Italy,0,60,0%,10.33
Germany,0,47,0%,11.96
Romania,0,41,0%,13.56
Portugal,0,40,0%,4.08
Thailand,0,37,0%,5.95
Brazil,0,31,0%,10.19
Nigeria,0,30,0%,4.5
Belgium,0,29,0%,6.21
Croatia,0,28,0%,5
Morocco,0,28,0%,5
Malta,0,28,0%,6.93
Australia,0,22,0%,11.5
Sweden,0,20,0%,5.7
United Arab Emirates,0,20,0%,18.7
Japan,0,18,0%,10.28
Pakistan,0,17,0%,7.53
India,0,17,0%,13.35
Albania,0,15,0%,5.8
Bulgaria,0,13,0%,3.92
Cyprus,0,13,0%,4.62
Indonesia,0,13,0%,14.23
Vietnam,0,13,0%,20.69
South Africa,0,12,0%,3.58
Finland,0,11,0%,4.73
Switzerland,0,11,0%,7.36
Philippines,0,10,0%,8.6
Egypt,0,9,0%,4.33
Ghana,0,8,0%,3.12
Kenya,0,8,0%,3.38
Russia,0,8,0%,9.62
New Zealand,0,7,0%,8.14
Austria,0,7,0%,8.43
Malaysia,0,7,0%,9.29
Saudi Arabia,0,7,0%,10.43
Jamaica,0,6,0%,3.33
Isle of Man,0,6,0%,4.67
Slovenia,0,6,0%,5
Mexico,0,6,0%,10.5
Iraq,0,5,0%,4.8
Latvia,0,5,0%,4.8
Tunisia,0,5,0%,6
Hong Kong,0,5,0%,6.8
Argentina,0,5,0%,10.6
Colombia,0,4,0%,3.5
Bangladesh,0,4,0%,6.75
Unknown Region,0,4,0%,6.75
Dominican Republic,0,4,0%,7.5
South Korea,0,4,0%,9.25
Gibraltar,0,3,0%,1
Malawi,0,3,0%,2
Sri Lanka,0,3,0%,2.33
Qatar,0,3,0%,2.67
Lithuania,0,3,0%,6.33
Georgia,0,3,0%,12.67
Serbia,0,3,0%,14
Andorra,0,3,0%,17.33
Gambia,0,2,0%,1
Côte d’Ivoire,0,2,0%,2
Cambodia,0,2,0%,3.5
Singapore,0,2,0%,3.5
Barbados,0,2,0%,4
Hungary,0,2,0%,4
Guinea,0,2,0%,4.5
Estonia,0,2,0%,5
Iran,0,2,0%,5
Macedonia,0,2,0%,5
Zimbabwe,0,2,0%,5
Algeria,0,2,0%,5.5
Uganda,0,2,0%,5.5
Taiwan,0,2,0%,6
Bosnia & Herzegovina,0,2,0%,7
Peru,0,2,0%,7
St. Lucia,0,2,0%,7.5
Kosovo,0,2,0%,7.5
Chile,0,1,0%,1
Fiji,0,1,0%,1
Israel,0,1,0%,1
Kazakhstan,0,1,0%,1
Mauritius,0,1,0%,1
Paraguay,0,1,0%,1
Slovakia,0,1,0%,1
Ukraine,0,1,0%,1
Madagascar,0,1,0%,3
Oman,0,1,0%,3
Bahrain,0,1,0%,4
Cuba,0,1,0%,4
Syria,0,1,0%,4
Zambia,0,1,0%,4
Costa Rica,0,1,0%,5
Montenegro,0,1,0%,5
Azerbaijan,0,1,0%,6
Cape Verde,0,1,0%,6
Rwanda,0,1,0%,6
El Salvador,0,1,0%,6
Nicaragua,0,1,0%,7
Turks & Caicos Islands,0,1,0%,9
Luxembourg,0,1,0%,10
Sudan,0,1,0%,10
British Virgin Islands,0,1,0%,10
Somalia,0,1,0%,11
