Top pages,Clicks,Impressions,CTR,Position
https://www.smartwhip.org.uk/,1265,50215,2.52%,5.71
https://smartwhip.org.uk/,761,20826,3.65%,3.64
https://www.smartwhip.org.uk/towns/nottingham,60,1286,4.67%,8.77
https://smartwhip.org.uk/towns/bournville,38,529,7.18%,8.72
https://www.smartwhip.org.uk/towns/islington,26,657,3.96%,11.83
https://smartwhip.org.uk/towns/bedford,17,198,8.59%,7.57
https://smartwhip.org.uk/towns/st-helens,15,435,3.45%,8.82
https://smartwhip.org.uk/towns/glasgow,14,184,7.61%,5.49
https://smartwhip.org.uk/towns/gateshead,13,163,7.98%,11.07
https://www.smartwhip.org.uk/towns/newton-cap,12,468,2.56%,6.99
https://www.smartwhip.org.uk/towns/redhill,10,185,5.41%,9.44
https://smartwhip.org.uk/towns/chelmsford,6,75,8%,6.47
https://smartwhip.org.uk/towns/redhill,5,97,5.15%,6.42
https://www.smartwhip.org.uk/towns/linton,4,54,7.41%,15.15
https://smartwhip.org.uk/towns/chatteris,3,29,10.34%,6.03
https://www.smartwhip.org.uk/towns/dudley,3,26,11.54%,10.77
https://smartwhip.org.uk/towns/burnley,3,18,16.67%,8.67
https://www.smartwhip.org.uk/towns/kirk-merrington,2,44,4.55%,11.75
https://www.smartwhip.org.uk/towns/felixstowe,2,37,5.41%,11.46
https://smartwhip.org.uk/towns/uxbridge,2,26,7.69%,7.58
https://www.smartwhip.org.uk/towns/kirkby,2,25,8%,16.4
https://smartwhip.org.uk/towns/beeston,2,21,9.52%,4.33
https://smartwhip.org.uk/towns/letchworth,1,25,4%,6.4
https://smartwhip.org.uk/towns/wrexham,1,18,5.56%,5.39
https://smartwhip.org.uk/towns/farnham,1,15,6.67%,3.8
https://smartwhip.org.uk/towns/mildenhall,1,15,6.67%,4.13
https://www.smartwhip.org.uk/towns/wrexham,1,8,12.5%,4
https://www.smartwhip.org.uk/towns/dunfermline,1,7,14.29%,8.57
https://smartwhip.org.uk/towns/high-etherley,0,47,0%,15.3
https://www.smartwhip.org.uk/towns/earley,0,41,0%,18.56
https://smartwhip.org.uk/towns/malvern,0,30,0%,14.67
https://smartwhip.org.uk/towns/hanwell,0,28,0%,13.5
https://smartwhip.org.uk/towns/stowmarket,0,28,0%,15.86
https://smartwhip.org.uk/towns/earley,0,25,0%,15.36
https://www.smartwhip.org.uk/towns/beeston,0,23,0%,10.96
https://www.smartwhip.org.uk/towns/stowmarket,0,23,0%,11.91
https://smartwhip.org.uk/towns/swansea,0,20,0%,6.15
https://smartwhip.org.uk/towns/sutton-in-ashfield,0,20,0%,11.35
https://www.smartwhip.org.uk/towns/burnley,0,19,0%,11.95
https://www.smartwhip.org.uk/towns/chelmsford,0,17,0%,7.59
https://smartwhip.org.uk/towns/stapleford,0,17,0%,9.71
https://smartwhip.org.uk/towns/headlam,0,13,0%,7.23
https://www.smartwhip.org.uk/towns/malvern,0,12,0%,5.83
https://smartwhip.org.uk/towns/st-helen-auckland,0,12,0%,12.17
https://smartwhip.org.uk/towns/bungay,0,11,0%,9.55
https://www.smartwhip.org.uk/towns/mildenhall,0,10,0%,10.5
https://smartwhip.org.uk/towns/school-aycliffe,0,10,0%,13
https://www.smartwhip.org.uk/towns/school-aycliffe,0,10,0%,17.1
https://www.smartwhip.org.uk/towns/hanwell,0,8,0%,8.88
https://smartwhip.org.uk/towns/binchester,0,7,0%,5.57
https://www.smartwhip.org.uk/towns/bungay,0,7,0%,14.71
https://smartwhip.org.uk/towns/east-kilbride,0,7,0%,24.29
https://smartwhip.org.uk/towns/hunwick,0,6,0%,7
https://www.smartwhip.org.uk/towns/wisbech,0,5,0%,10.8
https://smartwhip.org.uk/towns/dunfermline,0,4,0%,8.5
https://smartwhip.org.uk/towns/dudley,0,2,0%,9.5
https://www.smartwhip.org.uk/towns/merthyr-tudful,0,1,0%,32
